date,cases,deaths
2020-04-10,11,2
2020-04-11,11,2
2020-04-12,11,2
2020-04-13,11,2
2020-04-14,11,2
2020-04-15,13,2
2020-04-16,13,2
2020-04-17,13,2
2020-04-18,14,2
2020-04-19,14,2
2020-04-20,14,2
2020-04-21,14,2
2020-04-22,14,2
2020-04-23,14,2
2020-04-24,14,2
2020-04-25,14,2
2020-04-26,14,2
2020-04-27,14,2
2020-04-28,14,2
2020-04-29,14,2
2020-04-30,14,2
2020-05-01,14,2
2020-05-02,14,2
2020-05-03,14,2
2020-05-04,14,2
2020-05-05,14,2
2020-05-06,14,2
2020-05-07,15,2
2020-05-08,15,2
2020-05-09,15,2
2020-05-10,16,2
2020-05-11,16,2
2020-05-12,19,2
2020-05-13,19,2
2020-05-14,19,2
2020-05-15,19,2
2020-05-16,19,2
2020-05-17,19,2
2020-05-18,21,2
2020-05-19,21,2
2020-05-20,21,2
2020-05-21,21,2
2020-05-22,22,2
2020-05-23,22,2
2020-05-24,22,2
2020-05-25,22,2
2020-05-26,22,2
2020-05-27,22,2
2020-05-28,22,2
2020-05-29,22,2
2020-05-30,22,2
2020-05-31,22,2
2020-06-01,22,2
2020-06-02,22,2
2020-06-03,22,2
2020-06-04,24,2
2020-06-05,26,2
2020-06-06,26,2
2020-06-07,26,2
2020-06-08,27,2
2020-06-09,28,2
2020-06-10,30,2
2020-06-11,30,2
2020-06-12,30,2
2020-06-13,30,2
2020-06-14,30,2
2020-06-15,30,2
2020-06-16,30,2
2020-06-17,30,2
2020-06-18,30,2
2020-06-19,30,2
2020-06-20,30,2
2020-06-21,30,2
2020-06-22,30,2
2020-06-23,30,2
2020-06-24,30,2
2020-06-25,30,2
2020-06-26,30,2
2020-06-27,30,2
2020-06-28,30,2
2020-06-29,30,2
2020-06-30,30,2
2020-07-01,30,2
2020-07-02,30,2
2020-07-03,31,2
2020-07-04,31,2
2020-07-05,31,2
2020-07-06,31,2
2020-07-07,31,2
2020-07-08,31,2
2020-07-09,31,2
2020-07-10,31,2
2020-07-11,31,2
2020-07-12,31,2
2020-07-13,33,2
2020-07-14,33,2
2020-07-15,36,2
2020-07-16,36,2
2020-07-17,37,2
2020-07-18,37,2
2020-07-19,37,2
2020-07-20,37,2
2020-07-21,37,2
2020-07-22,38,2
2020-07-23,38,2
2020-07-24,38,2
2020-07-25,38,2
2020-07-26,39,2
2020-07-27,40,2
2020-07-28,40,2
2020-07-29,40,2
2020-07-30,40,2
2020-07-31,42,2
2020-08-01,42,2
2020-08-02,44,2
2020-08-03,45,2
2020-08-04,46,2
2020-08-05,46,2
2020-08-06,46,2
2020-08-07,47,2
2020-08-08,47,2
2020-08-09,48,2
2020-08-10,48,2
2020-08-11,49,2
2020-08-12,49,2
2020-08-13,49,2
2020-08-14,49,2
2020-08-15,50,2
2020-08-16,50,2
2020-08-17,50,2
2020-08-18,54,2
2020-08-19,54,2
2020-08-20,54,2
2020-08-21,54,2
2020-08-22,54,2
2020-08-23,54,2
2020-08-24,54,2
2020-08-25,54,2
2020-08-26,54,2
2020-08-27,54,2
2020-08-28,54,2
2020-08-29,54,2
2020-08-30,56,2
2020-08-31,56,2
2020-09-01,56,2
2020-09-02,57,2
2020-09-03,57,2
2020-09-04,57,2
2020-09-05,57,2
2020-09-06,57,2
2020-09-07,58,2
2020-09-08,59,2
2020-09-09,59,2
2020-09-10,59,2
2020-09-11,59,2
2020-09-12,59,2
2020-09-13,60,2
2020-09-14,60,2
2020-09-15,61,2
2020-09-16,61,2
2020-09-17,61,2
2020-09-18,62,2
2020-09-19,62,2
2020-09-20,68,2
2020-09-21,68,2
2020-09-22,69,2
2020-09-23,69,2
2020-09-24,69,2
2020-09-25,69,2
2020-09-26,69,2
2020-09-27,70,2
2020-09-28,70,2
2020-09-29,70,2
2020-09-30,70,2
2020-10-01,70,2
2020-10-02,73,2
2020-10-03,73,2
2020-10-04,73,2
2020-10-05,73,2
2020-10-06,75,2
2020-10-07,75,2
2020-10-08,75,2
2020-10-09,75,2
2020-10-10,75,2
2020-10-11,77,2
2020-10-12,77,2
2020-10-13,77,2
2020-10-14,77,2
2020-10-15,77,2
2020-10-16,80,2
2020-10-17,80,2
2020-10-18,86,2
2020-10-19,86,2
2020-10-20,86,2
2020-10-21,88,2
2020-10-22,88,2
2020-10-23,88,2
2020-10-24,88,2
2020-10-25,88,2
2020-10-26,88,2
2020-10-27,92,2
2020-10-28,92,2
2020-10-29,92,2
2020-10-30,92,2
2020-10-31,92,2
2020-11-01,96,2
2020-11-02,96,2
2020-11-03,96,2
2020-11-04,96,2
2020-11-05,96,2
2020-11-06,98,2
2020-11-07,98,2
2020-11-08,98,2
2020-11-09,98,2
2020-11-10,100,2
2020-11-11,100,2
2020-11-12,100,2
2020-11-13,100,2
2020-11-14,100,2
2020-11-15,102,2
2020-11-16,102,2
2020-11-17,103,2
2020-11-18,103,2
2020-11-19,103,2
2020-11-20,103,2
2020-11-21,103,2
2020-11-22,104,2
2020-11-23,104,2
2020-11-24,104,2
2020-11-25,104,2
2020-11-26,104,2
2020-11-27,104,2
2020-11-28,104,2
2020-11-29,105,2
2020-11-30,105,2
2020-12-01,106,2
2020-12-02,106,2
2020-12-03,106,2
2020-12-04,106,2
2020-12-05,106,2
2020-12-06,106,2
2020-12-07,109,2
2020-12-08,111,2
2020-12-09,113,2
2020-12-10,113,2
2020-12-11,113,2
2020-12-12,113,2
2020-12-13,113,2
2020-12-14,113,2
2020-12-15,113,2
2020-12-16,113,2
2020-12-17,113,2
2020-12-18,115,2
2020-12-19,115,2
2020-12-20,116,2
2020-12-21,116,2
2020-12-22,116,2
2020-12-23,118,2
2020-12-24,118,2
2020-12-25,122,2
2020-12-26,122,2
2020-12-27,122,2
2020-12-28,122,2
2020-12-29,122,2
2020-12-30,122,2
2020-12-31,122,2
2021-01-01,122,2
2021-01-02,122,2
2021-01-03,122,2
2021-01-04,124,2
2021-01-05,125,2
2021-01-06,125,2
2021-01-07,125,2
2021-01-08,125,2
2021-01-09,125,2
2021-01-10,125,2
2021-01-11,125,2
2021-01-12,128,2
2021-01-13,128,2
2021-01-14,128,2
2021-01-15,128,2
2021-01-16,128,2
2021-01-17,128,2
2021-01-18,129,2
2021-01-19,129,2
2021-01-20,129,2
2021-01-21,129,2
2021-01-22,129,2
2021-01-23,129,2
2021-01-24,132,2
2021-01-25,132,2
2021-01-26,132,2
2021-01-27,132,2
2021-01-28,132,2
2021-01-29,132,2
2021-01-30,132,2
2021-01-31,132,2
2021-02-01,132,2
2021-02-02,133,2
2021-02-03,133,2
2021-02-04,133,2
2021-02-05,133,2
2021-02-06,133,2
2021-02-07,133,2
2021-02-08,133,2
2021-02-09,133,2
2021-02-10,133,2
2021-02-11,133,2
2021-02-12,134,2
2021-02-13,134,2
2021-02-14,134,2
2021-02-15,134,2
2021-02-16,134,2
2021-02-17,135,2
2021-02-18,135,2
2021-02-19,135,2
2021-02-20,135,2
2021-02-21,135,2
2021-02-22,143,2
2021-02-23,143,2
2021-02-24,143,2
2021-02-25,143,2
2021-02-26,143,2
2021-02-27,143,2
2021-02-28,143,2
2021-03-01,143,2
2021-03-02,143,2
2021-03-03,144,2
2021-03-04,144,2
2021-03-05,144,2
2021-03-06,144,2
2021-03-07,145,2
2021-03-08,145,2
2021-03-09,146,2
2021-03-10,146,2
2021-03-11,146,2
2021-03-12,146,2
2021-03-13,147,2
2021-03-14,150,2
2021-03-15,154,2
2021-03-16,156,2
2021-03-17,156,2
2021-03-18,157,2
2021-03-19,157,2
2021-03-20,157,2
2021-03-21,157,2
2021-03-22,157,2
2021-03-23,158,2
2021-03-24,158,2
2021-03-25,159,2
2021-03-26,159,2
2021-03-27,159,2
2021-03-28,159,2
2021-03-29,159,2
2021-03-30,159,2
2021-03-31,159,2
2021-04-01,159,2
2021-04-02,159,2
2021-04-03,159,2
2021-04-04,159,2
2021-04-05,159,2
2021-04-06,159,2
2021-04-07,160,2
2021-04-08,160,2
2021-04-09,160,2
2021-04-10,160,2
2021-04-11,160,2
2021-04-12,160,2
2021-04-13,160,2
2021-04-14,,
2021-04-15,,
